customerid,category,country,industry,month,billedamount
977,Individual,Serbia,Support,2010-2,19356
110,Individual,Indonesia,Training,2010-2,873
915,Company,Russia,Training,2010-2,12280
618,Individual,Nicaragua,Human Resources,2010-2,6355
389,Company,Ukraine,Product Management,2010-2,3974
901,Individual,Portugal,Sales,2010-2,13474
637,Company,Madagascar,Support,2010-2,3828
330,Individual,Nepal,Engineering,2010-2,12155
924,Company,Armenia,Marketing,2010-2,7336
890,Company,South Africa,Training,2010-2,18391
897,Company,Russia,Human Resources,2010-2,13358
4,Company,United States,Training,2010-2,13422
910,Individual,Iran,Training,2010-2,8951
238,Individual,Indonesia,Accounting,2010-2,15197
337,Company,China,Legal,2010-2,14543
328,Individual,Indonesia,Business Development,2010-2,14685
357,Individual,France,Sales,2010-2,14649
907,Company,Sweden,Support,2010-2,8033
395,Individual,Portugal,Human Resources,2010-2,7227
5,Company,Guatemala,Sales,2010-2,18389
889,Individual,France,Training,2010-2,18406
613,Individual,Czech Republic,Sales,2010-2,16898
127,Company,Sweden,Product Management,2010-2,8744
41,Company,Brazil,Marketing,2010-2,11081
121,Company,Vietnam,Marketing,2010-2,6662
975,Individual,Argentina,Legal,2010-2,8469
647,Company,Indonesia,Business Development,2010-2,5639
358,Company,Japan,Research and Development,2010-2,1094
639,Individual,Finland,Legal,2010-2,16366
929,Company,China,Services,2010-2,4832
891,Individual,Russia,Product Management,2010-2,3597
116,Company,Russia,Product Management,2010-2,14500
333,Individual,France,Training,2010-2,1561
898,Company,Indonesia,Sales,2010-2,2541
930,Company,Indonesia,Marketing,2010-2,19897
340,Individual,China,Support,2010-2,18823
911,Individual,China,Business Development,2010-2,411
882,Individual,Netherlands,Accounting,2010-2,6800
119,Individual,Sweden,Engineering,2010-2,10177
352,Individual,Latvia,Legal,2010-2,10213
992,Company,Egypt,Services,2010-2,18242
335,Company,Russia,Sales,2010-2,2055
937,Company,Brazil,Human Resources,2010-2,777
42,Individual,Poland,Marketing,2010-2,18102
993,Company,Russia,Accounting,2010-2,4724
642,Company,China,Business Development,2010-2,5066
125,Company,Brazil,Legal,2010-2,9207
113,Individual,Portugal,Product Management,2010-2,18972
388,Individual,Serbia,Research and Development,2010-2,11092
919,Company,Indonesia,Business Development,2010-2,5955
381,Company,Philippines,Research and Development,2010-2,8439
883,Company,China,Training,2010-2,2605
888,Company,Indonesia,Engineering,2010-2,9427
646,Individual,Portugal,Sales,2010-2,17306
118,Company,Peru,Accounting,2010-2,16873
932,Company,Mongolia,Training,2010-2,7576
225,Individual,China,Services,2010-2,17727
363,Individual,China,Product Management,2010-2,17190
373,Company,Sweden,Legal,2010-2,16954
369,Company,North Korea,Marketing,2010-2,839
611,Individual,Uzbekistan,Engineering,2010-2,17940
78,Individual,Greece,Legal,2010-2,3375
124,Company,Indonesia,Product Management,2010-2,9996
361,Company,Sri Lanka,Research and Development,2010-2,13998
896,Company,Philippines,Accounting,2010-2,2736
349,Company,Uzbekistan,Engineering,2010-2,18796
380,Company,Philippines,Legal,2010-2,6969
640,Company,Colombia,Support,2010-2,11376
73,Company,Morocco,Product Management,2010-2,5570
378,Individual,Cameroon,Accounting,2010-2,2434
366,Individual,Japan,Support,2010-2,19057
74,Company,Haiti,Business Development,2010-2,18180
376,Individual,China,Accounting,2010-2,12647
112,Company,Indonesia,Training,2010-2,6570
393,Company,China,Marketing,2010-2,18298
359,Individual,Russia,Product Management,2010-2,13629
327,Company,Iraq,Research and Development,2010-2,17111
894,Company,Cuba,Business Development,2010-2,11793
885,Company,Brazil,Training,2010-2,1192
375,Company,Ukraine,Engineering,2010-2,17030
332,Company,Pakistan,Support,2010-2,14748
926,Company,Russia,Sales,2010-2,7068
104,Company,Peru,Accounting,2010-2,15716
109,Individual,Portugal,Business Development,2010-2,2586
379,Individual,Nigeria,Human Resources,2010-2,4226
343,Company,Russia,Business Development,2010-2,4030
123,Individual,Indonesia,Sales,2010-2,14892
918,Company,Croatia,Accounting,2010-2,12493
120,Company,Indonesia,Legal,2010-2,5781
346,Company,Indonesia,Sales,2010-2,11106
228,Company,China,Business Development,2010-2,15817
903,Individual,Indonesia,Research and Development,2010-2,5642
384,Company,China,Training,2010-2,4854
912,Company,China,Training,2010-2,16182
356,Company,Spain,Services,2010-2,19621
126,Individual,Indonesia,Research and Development,2010-2,687
900,Individual,Indonesia,Product Management,2010-2,10257
934,Company,Russia,Training,2010-2,16464
7,Individual,China,Legal,2010-2,9141
617,Individual,Chile,Business Development,2010-2,11103
72,Individual,Palestinian Territory,Product Management,2010-2,14143
224,Individual,Lebanon,Research and Development,2010-2,1874
226,Individual,Portugal,Sales,2010-2,6403
347,Company,Latvia,Support,2010-2,4380
976,Individual,Indonesia,Training,2010-2,10234
638,Company,Colombia,Support,2010-2,17275
645,Individual,Indonesia,Human Resources,2010-2,18340
350,Individual,Brazil,Sales,2010-2,1203
371,Company,Indonesia,Research and Development,2010-2,15605
348,Company,Sweden,Services,2010-2,12212
6,Company,Canada,Training,2010-2,8138
105,Individual,Indonesia,Product Management,2010-2,10207
904,Individual,China,Sales,2010-2,11687
232,Company,Brazil,Human Resources,2010-2,19181
908,Individual,China,Product Management,2010-2,8626
610,Company,China,Legal,2010-2,18522
342,Individual,China,Services,2010-2,1492
935,Company,Philippines,Training,2010-2,7828
614,Individual,United States,Product Management,2010-2,15337
998,Individual,China,Engineering,2010-2,13682
644,Individual,Slovenia,Legal,2010-2,8285
128,Company,Indonesia,Legal,2010-2,772
115,Individual,Albania,Human Resources,2010-2,7359
344,Company,Sweden,Engineering,2010-2,1138
916,Company,Japan,Research and Development,2010-2,16380
329,Individual,Slovenia,Business Development,2010-2,8226
367,Company,Russia,Services,2010-2,16075
374,Individual,Colombia,Legal,2010-2,18574
893,Individual,Indonesia,Legal,2010-2,3538
880,Company,France,Research and Development,2010-2,12299
923,Individual,Canada,Research and Development,2010-2,5313
122,Individual,Indonesia,Services,2010-2,227
3,Individual,United States,Training,2010-2,5079
905,Individual,Portugal,Marketing,2010-2,19210
537,Individual,United States,Research and Development,2010-3,18828
214,Individual,Japan,Training,2010-3,492
413,Individual,Malaysia,Engineering,2010-3,4647
726,Company,China,Product Management,2010-3,5028
190,Company,China,Human Resources,2010-3,7871
11,Individual,Myanmar,Training,2010-3,13047
421,Individual,Chad,Accounting,2010-3,8302
166,Company,France,Product Management,2010-3,19781
754,Individual,Brazil,Sales,2010-3,19739
854,Individual,China,Research and Development,2010-3,4918
978,Company,Indonesia,Engineering,2010-3,5975
562,Individual,Belarus,Research and Development,2010-3,16490
586,Company,China,Product Management,2010-3,15485
181,Individual,Argentina,Accounting,2010-3,15573
286,Company,China,Training,2010-3,4947
888,Company,Indonesia,Engineering,2010-3,11859
962,Individual,Czech Republic,Legal,2010-3,19170
269,Individual,Malaysia,Business Development,2010-3,14552
817,Individual,Honduras,Research and Development,2010-3,8116
687,Company,China,Marketing,2010-3,17776
751,Company,Serbia,Legal,2010-3,5060
853,Individual,Russia,Support,2010-3,18559
639,Individual,Finland,Legal,2010-3,6291
461,Individual,Indonesia,Engineering,2010-3,12656
317,Company,Philippines,Accounting,2010-3,3551
862,Company,United States,Accounting,2010-3,1764
478,Company,Portugal,Services,2010-3,5340
939,Company,Russia,Support,2010-3,8523
617,Individual,Chile,Business Development,2010-3,4890
102,Individual,Russia,Business Development,2010-3,644
73,Company,Morocco,Product Management,2010-3,2582
139,Individual,United States,Sales,2010-3,13159
788,Individual,China,Marketing,2010-3,19304
373,Company,Sweden,Legal,2010-3,1189
523,Company,China,Business Development,2010-3,181
369,Company,North Korea,Marketing,2010-3,2005
583,Company,Georgia,Marketing,2010-3,17066
500,Individual,China,Accounting,2010-3,19582
157,Individual,Indonesia,Business Development,2010-3,10677
222,Individual,China,Sales,2010-3,7561
816,Company,Thailand,Marketing,2010-3,7117
125,Company,Brazil,Legal,2010-3,19913
363,Individual,China,Product Management,2010-3,15299
455,Individual,Guatemala,Marketing,2010-3,10729
979,Individual,Jamaica,Engineering,2010-3,10250
352,Individual,Latvia,Legal,2010-3,10332
61,Company,Philippines,Marketing,2010-3,8824
672,Individual,Slovakia,Support,2010-3,10166
10,Company,New Zealand,Engineering,2010-3,19475
173,Individual,Poland,Marketing,2010-3,2535
770,Individual,China,Product Management,2010-3,5791
704,Individual,Russia,Legal,2010-3,7910
416,Company,North Korea,Training,2010-3,18846
126,Individual,Indonesia,Research and Development,2010-3,11804
644,Individual,Slovenia,Legal,2010-3,19000
221,Company,Argentina,Human Resources,2010-3,12930
705,Company,Indonesia,Training,2010-3,18052
229,Company,Vietnam,Product Management,2010-3,17934
30,Individual,China,Research and Development,2010-3,4093
495,Individual,Palestinian Territory,Business Development,2010-3,19288
818,Individual,Portugal,Human Resources,2010-3,5470
454,Individual,Peru,Product Management,2010-3,7804
140,Company,Poland,Training,2010-3,9789
316,Company,Ukraine,Human Resources,2010-3,19021
742,Individual,China,Services,2010-3,19875
809,Company,Philippines,Services,2010-3,1371
681,Individual,Mauritius,Accounting,2010-3,7131
897,Company,Russia,Human Resources,2010-3,13215
330,Individual,Nepal,Engineering,2010-3,11572
740,Company,Russia,Engineering,2010-3,2315
613,Individual,Czech Republic,Sales,2010-3,2067
357,Individual,France,Sales,2010-3,7238
115,Individual,Albania,Human Resources,2010-3,16975
666,Individual,Japan,Legal,2010-3,7739
556,Company,China,Product Management,2010-3,14631
910,Individual,Iran,Training,2010-3,8835
511,Individual,Armenia,Legal,2010-3,15266
192,Individual,France,Engineering,2010-3,7889
424,Individual,Indonesia,Training,2010-3,4452
819,Company,Thailand,Legal,2010-3,8118
634,Company,Mexico,Business Development,2010-3,3248
640,Company,Colombia,Support,2010-3,7073
863,Company,Finland,Services,2010-3,5192
787,Company,Japan,Research and Development,2010-3,13954
62,Company,France,Product Management,2010-3,7194
772,Individual,Philippines,Human Resources,2010-3,493
968,Individual,Thailand,Services,2010-3,18292
889,Individual,France,Training,2010-3,10873
300,Company,Thailand,Sales,2010-3,12713
851,Company,Philippines,Sales,2010-3,18036
303,Individual,Tanzania,Marketing,2010-3,1289
606,Individual,Poland,Marketing,2010-3,13175
108,Company,China,Legal,2010-3,2595
766,Individual,Dominican Republic,Human Resources,2010-3,5656
637,Company,Madagascar,Support,2010-3,5653
611,Individual,Uzbekistan,Engineering,2010-3,6009
329,Individual,Slovenia,Business Development,2010-3,3199
19,Individual,China,Business Development,2010-3,4408
982,Company,Poland,Research and Development,2010-3,19523
66,Company,China,Marketing,2010-3,9484
381,Company,Philippines,Research and Development,2010-3,8932
981,Individual,Philippines,Human Resources,2010-3,2294
999,Company,China,Business Development,2010-3,10621
210,Individual,China,Marketing,2010-3,16027
630,Individual,Indonesia,Services,2010-3,7327
346,Company,Indonesia,Sales,2010-3,7269
621,Individual,Angola,Services,2010-3,16002
557,Company,Finland,Services,2010-3,8955
422,Individual,Philippines,Support,2010-3,7615
218,Individual,China,Marketing,2010-3,14320
538,Individual,Russia,Training,2010-3,16670
791,Company,Vietnam,Marketing,2010-3,4614
423,Individual,Philippines,Marketing,2010-3,10636
963,Company,China,Support,2010-3,12214
771,Company,Bangladesh,Product Management,2010-3,16905
852,Company,China,Product Management,2010-3,1088
729,Individual,Norway,Product Management,2010-3,12636
100,Individual,Croatia,Services,2010-3,7226
292,Company,Japan,Legal,2010-3,8355
481,Company,South Korea,Legal,2010-3,18446
945,Individual,Colombia,Marketing,2010-3,15075
699,Company,United States,Marketing,2010-3,13049
971,Company,China,Product Management,2010-3,10239
379,Individual,Nigeria,Human Resources,2010-3,4736
200,Individual,Indonesia,Engineering,2010-3,18466
135,Company,Indonesia,Sales,2010-3,2287
977,Individual,Serbia,Support,2010-3,9683
261,Company,Syria,Support,2010-3,8090
154,Individual,China,Product Management,2010-3,15979
33,Individual,China,Business Development,2010-3,9967
42,Individual,Poland,Marketing,2010-3,455
654,Company,China,Legal,2010-3,8795
202,Individual,Morocco,Research and Development,2010-3,7834
574,Company,Equatorial Guinea,Marketing,2010-3,19703
458,Company,Iran,Support,2010-3,18543
241,Individual,China,Support,2010-3,12684
417,Company,Philippines,Engineering,2010-3,13750
499,Individual,French Guiana,Legal,2010-3,3805
790,Individual,Ethiopia,Accounting,2010-3,2505
768,Company,Russia,Research and Development,2010-3,2883
415,Company,Kuwait,Accounting,2010-3,8815
368,Company,Philippines,Training,2010-3,10730
165,Company,Czech Republic,Business Development,2010-3,15193
22,Company,Portugal,Business Development,2010-3,1646
931,Individual,Bosnia and Herzegovina,Research and Development,2010-3,19649
560,Company,Nicaragua,Engineering,2010-3,11035
479,Company,Ethiopia,Human Resources,2010-3,17687
811,Individual,Benin,Human Resources,2010-3,1193
535,Individual,Poland,Training,2010-3,4518
950,Company,Philippines,Support,2010-3,9142
942,Individual,Indonesia,Services,2010-3,5290
260,Individual,Ukraine,Training,2010-3,6323
457,Individual,Canada,Research and Development,2010-3,10233
391,Individual,United States,Services,2010-3,6390
857,Individual,Russia,Product Management,2010-3,2345
351,Individual,Poland,Product Management,2010-3,19601
76,Company,Syria,Legal,2010-3,146
75,Company,Russia,Accounting,2010-3,18150
753,Company,China,Business Development,2010-3,10819
46,Individual,Mexico,Product Management,2010-3,18184
180,Company,Russia,Engineering,2010-3,3162
534,Company,Russia,Services,2010-3,12651
813,Company,Serbia,Human Resources,2010-3,920
418,Individual,Philippines,Accounting,2010-3,9360
254,Individual,Indonesia,Marketing,2010-3,19225
899,Individual,Mexico,Human Resources,2010-3,10512
702,Company,Sweden,Marketing,2010-3,10862
137,Company,China,Accounting,2010-3,19152
343,Company,Russia,Business Development,2010-3,12328
858,Individual,Tanzania,Accounting,2010-3,9845
174,Company,Croatia,Services,2010-3,2039
741,Company,China,Services,2010-3,7410
301,Company,China,Training,2010-3,4120
592,Company,Philippines,Training,2010-3,15937
860,Company,Brazil,Sales,2010-3,5810
53,Company,China,Services,2010-3,12917
89,Individual,Philippines,Legal,2010-3,15251
701,Company,Jordan,Product Management,2010-3,16668
916,Company,Japan,Research and Development,2010-3,9837
652,Company,Poland,Sales,2010-3,1099
588,Company,France,Product Management,2010-3,18697
392,Company,Brazil,Research and Development,2010-3,13007
40,Individual,Portugal,Human Resources,2010-3,14556
380,Company,Philippines,Legal,2010-3,14135
561,Individual,Indonesia,Sales,2010-3,14786
728,Individual,Kyrgyzstan,Accounting,2010-3,19572
859,Individual,Nigeria,Product Management,2010-3,5974
234,Company,South Africa,Services,2010-3,3773
319,Company,China,Services,2010-3,2479
596,Company,Philippines,Human Resources,2010-3,16183
293,Company,South Africa,Legal,2010-3,690
579,Company,France,Marketing,2010-3,11582
285,Company,Colombia,Engineering,2010-3,3162
47,Company,United States,Training,2010-3,19338
991,Company,Poland,Marketing,2010-3,2417
156,Individual,Albania,Services,2010-3,9707
227,Individual,Philippines,Human Resources,2010-3,2513
923,Individual,Canada,Research and Development,2010-3,11787
812,Company,China,Human Resources,2010-3,3392
958,Company,Indonesia,Sales,2010-3,8544
364,Individual,Mexico,Services,2010-3,12624
459,Individual,Costa Rica,Product Management,2010-3,3990
79,Individual,Thailand,Marketing,2010-3,19591
27,Company,Cayman Islands,Legal,2010-3,11764
886,Company,Kazakhstan,Support,2010-3,9310
498,Company,China,Marketing,2010-3,9037
815,Company,Macedonia,Product Management,2010-3,4910
524,Company,China,Sales,2010-3,2025
678,Company,China,Product Management,2010-3,822
420,Individual,Indonesia,Services,2010-3,17258
155,Individual,Antigua and Barbuda,Product Management,2010-3,6576
514,Individual,Somalia,Legal,2010-3,18669
703,Individual,Indonesia,Accounting,2010-3,7892
667,Individual,China,Training,2010-3,13564
810,Individual,China,Human Resources,2010-3,7849
861,Company,Indonesia,Business Development,2010-3,8011
7,Individual,China,Legal,2010-3,15781
559,Individual,Indonesia,Legal,2010-3,1198
885,Company,Brazil,Training,2010-3,9113
334,Company,Finland,Training,2010-3,8439
185,Company,Czech Republic,Research and Development,2010-3,1422
112,Company,Indonesia,Training,2010-3,6218
320,Individual,Sweden,Product Management,2010-3,11922
191,Company,Indonesia,Accounting,2010-3,2458
456,Individual,China,Research and Development,2010-3,13522
767,Company,Philippines,Sales,2010-3,13442
855,Company,Poland,Legal,2010-3,14612
597,Individual,South Africa,Accounting,2010-3,2942
898,Company,Indonesia,Sales,2010-3,10014
984,Company,Sweden,Services,2010-3,3598
911,Individual,China,Business Development,2010-3,17318
930,Company,Indonesia,Marketing,2010-3,2974
512,Company,Russia,Sales,2010-3,9450
605,Individual,Philippines,Engineering,2010-3,16673
989,Company,Bulgaria,Support,2010-3,12948
700,Company,Peru,Marketing,2010-3,6215
575,Individual,Guinea,Training,2010-3,7304
558,Company,Mexico,Training,2010-3,11536
16,Individual,Ukraine,Sales,2010-3,8649
965,Company,Nigeria,Marketing,2010-3,1571
367,Company,Russia,Services,2010-3,4568
513,Company,Indonesia,Training,2010-3,5474
496,Individual,Ukraine,Marketing,2010-3,11633
390,Individual,Azerbaijan,Legal,2010-3,7275
497,Company,Bolivia,Business Development,2010-3,14501
70,Company,Indonesia,Marketing,2010-3,12278
663,Company,Cuba,Research and Development,2010-3,7014
318,Company,Colombia,Human Resources,2010-3,15037
856,Company,Sweden,Engineering,2010-3,646
360,Company,China,Services,2010-3,6142
302,Company,Japan,Human Resources,2010-3,16719
934,Company,Russia,Training,2010-3,14736
245,Company,Croatia,Engineering,2010-3,12146
952,Individual,China,Sales,2010-3,12928
653,Company,Cape Verde,Training,2010-3,9052
662,Individual,Nigeria,Training,2010-3,8567
887,Individual,China,Marketing,2010-3,15814
622,Individual,Poland,Legal,2010-3,6019
585,Individual,Brazil,Support,2010-3,13959
906,Individual,Philippines,Accounting,2010-3,13085
279,Company,Palestinian Territory,Support,2010-3,16588
136,Company,Colombia,Business Development,2010-3,9892
414,Individual,Nigeria,Marketing,2010-3,14638
956,Individual,Peru,Research and Development,2010-3,15652
769,Company,Mexico,Accounting,2010-3,15675
727,Company,Cameroon,Engineering,2010-3,9947
120,Company,Indonesia,Legal,2010-3,10937
208,Individual,China,Sales,2010-3,13204
24,Individual,Denmark,Product Management,2010-3,102
675,Company,France,Marketing,2010-3,1386
752,Individual,Peru,Legal,2010-3,7731
419,Individual,Indonesia,Business Development,2010-3,7163
536,Individual,Honduras,Human Resources,2010-3,1455
270,Company,Indonesia,Business Development,2010-3,6825
789,Company,Poland,Accounting,2010-3,7630
460,Individual,Ethiopia,Support,2010-3,2616
94,Company,Russia,Product Management,2010-3,1080
201,Individual,China,Research and Development,2010-3,7071
814,Individual,Ukraine,Legal,2010-3,14182
957,Company,Philippines,Legal,2010-3,15327
259,Individual,Czech Republic,Legal,2010-3,19346
480,Individual,Malaysia,Accounting,2010-3,9231
67,Individual,Brazil,Engineering,2010-3,12575
797,Individual,Indonesia,Legal,2010-3,12072
953,Company,Vietnam,Business Development,2010-3,15327
275,Company,Indonesia,Engineering,2010-3,2632
385,Individual,China,Training,2010-3,16807
194,Individual,Mexico,Product Management,2010-3,19643
311,Individual,France,Marketing,2010-3,9804
98,Company,Thailand,Business Development,2010-3,3691
80,Company,China,Legal,2010-3,4622
168,Individual,Russia,Legal,2010-3,1001
170,Company,Syria,Business Development,2010-3,15202
827,Individual,Argentina,Marketing,2010-3,3760
684,Individual,Mexico,Training,2010-3,12299
927,Individual,China,Services,2010-3,6191
974,Company,Sweden,Training,2010-3,8760
63,Individual,Greece,Human Resources,2010-3,11317
13,Individual,China,Human Resources,2010-3,1736
91,Company,Indonesia,Business Development,2010-3,14291
838,Individual,Russia,Human Resources,2010-3,17510
720,Company,China,Research and Development,2010-3,13234
445,Company,Cameroon,Business Development,2010-3,10841
277,Individual,Bulgaria,Legal,2010-3,161
93,Company,France,Accounting,2010-3,17155
355,Individual,Indonesia,Support,2010-3,5695
714,Individual,China,Sales,2010-3,1520
947,Individual,China,Engineering,2010-3,4038
230,Individual,Palestinian Territory,Marketing,2010-3,5850
584,Company,Canada,Research and Development,2010-3,2503
590,Company,China,Human Resources,2010-3,11846
109,Individual,Portugal,Business Development,2010-3,2711
104,Company,Peru,Accounting,2010-3,12644
146,Individual,Cameroon,Support,2010-3,18464
123,Individual,Indonesia,Sales,2010-3,16435
122,Individual,Indonesia,Services,2010-3,3393
209,Individual,China,Services,2010-3,14705
549,Company,Kyrgyzstan,Engineering,2010-3,7426
985,Company,Mexico,Marketing,2010-3,11342
828,Company,Nigeria,Services,2010-3,15390
659,Individual,Poland,Engineering,2010-3,13932
436,Company,Portugal,Research and Development,2010-3,5629
778,Individual,China,Human Resources,2010-3,13575
577,Individual,Armenia,Research and Development,2010-3,14112
935,Company,Philippines,Training,2010-3,5338
837,Company,China,Human Resources,2010-3,11519
307,Individual,China,Services,2010-3,13893
518,Individual,Sri Lanka,Training,2010-3,3762
917,Company,Serbia,Human Resources,2010-3,11877
486,Individual,China,Services,2010-3,19646
219,Company,Mongolia,Product Management,2010-3,19702
150,Company,Vietnam,Training,2010-3,16043
491,Individual,Philippines,Product Management,2010-3,6672
1000,Company,China,Legal,2010-3,832
839,Individual,Russia,Services,2010-3,2046
826,Individual,Argentina,Research and Development,2010-3,11250
941,Individual,Denmark,Human Resources,2010-3,11106
619,Individual,Russia,Business Development,2010-3,9123
602,Individual,China,Human Resources,2010-3,14659
372,Individual,American Samoa,Sales,2010-3,15183
197,Company,Morocco,Product Management,2010-3,3399
777,Individual,Georgia,Training,2010-3,19793
237,Individual,Honduras,Services,2010-3,15316
212,Individual,China,Human Resources,2010-3,2658
433,Individual,Canada,Research and Development,2010-3,416
447,Individual,France,Support,2010-3,14761
288,Individual,Ethiopia,Services,2010-3,7429
542,Individual,Afghanistan,Product Management,2010-3,12858
28,Company,Kiribati,Business Development,2010-3,3431
940,Company,Indonesia,Services,2010-3,7464
840,Individual,Philippines,Product Management,2010-3,2516
721,Company,Russia,Support,2010-3,695
71,Individual,Philippines,Sales,2010-3,796
2,Individual,Vietnam,Marketing,2010-3,3619
86,Company,Indonesia,Engineering,2010-3,10577
264,Individual,Brazil,Product Management,2010-3,4117
236,Individual,China,Services,2010-3,16205
543,Company,United States,Marketing,2010-3,13051
386,Company,China,Legal,2010-3,10210
3,Individual,United States,Training,2010-3,17511
747,Company,Russia,Marketing,2010-3,19358
383,Individual,Montenegro,Sales,2010-3,4175
485,Company,Poland,Sales,2010-3,17639
145,Individual,Bosnia and Herzegovina,Product Management,2010-3,9643
521,Individual,Nigeria,Support,2010-3,15475
657,Company,Paraguay,Services,2010-3,4384
435,Individual,China,Product Management,2010-3,17715
713,Company,Belarus,Human Resources,2010-3,2876
631,Company,Poland,Marketing,2010-3,16938
29,Individual,Russia,Training,2010-3,14307
220,Individual,France,Engineering,2010-3,11477
925,Individual,Canada,Support,2010-3,10875
670,Individual,Brazil,Sales,2010-3,18390
446,Individual,Indonesia,Sales,2010-3,12604
58,Company,China,Engineering,2010-3,8131
434,Company,China,Sales,2010-3,17411
370,Company,Finland,Training,2010-3,15696
548,Individual,United States,Training,2010-3,11556
683,Company,Russia,Business Development,2010-3,2807
25,Company,Czech Republic,Sales,2010-3,8463
669,Individual,Pakistan,Engineering,2010-3,19603
232,Company,Brazil,Human Resources,2010-3,11255
371,Company,Indonesia,Research and Development,2010-3,15066
718,Company,Peru,Product Management,2010-3,18569
442,Company,Sweden,Sales,2010-3,5371
645,Individual,Indonesia,Human Resources,2010-3,1572
918,Company,Croatia,Accounting,2010-3,1852
716,Individual,Argentina,Business Development,2010-3,9386
949,Individual,Russia,Accounting,2010-3,14047
14,Company,Poland,Research and Development,2010-3,9454
487,Individual,Indonesia,Research and Development,2010-3,14813
183,Company,Indonesia,Product Management,2010-3,13378
834,Company,Libya,Services,2010-3,16123
830,Company,Costa Rica,Support,2010-3,17774
926,Company,Russia,Sales,2010-3,16827
439,Individual,Thailand,Research and Development,2010-3,18624
308,Individual,Japan,Accounting,2010-3,1315
676,Individual,Lithuania,Accounting,2010-3,9712
547,Company,Indonesia,Services,2010-3,17277
959,Individual,Libya,Legal,2010-3,6097
90,Company,Venezuela,Legal,2010-3,9399
833,Individual,Burkina Faso,Sales,2010-3,6660
546,Individual,Greece,Research and Development,2010-3,4779
488,Individual,Russia,Research and Development,2010-3,3247
781,Company,Yemen,Engineering,2010-3,16997
955,Individual,Sudan,Accounting,2010-3,18135
908,Individual,China,Product Management,2010-3,8929
969,Company,Greece,Support,2010-3,19780
520,Individual,Indonesia,Training,2010-3,2281
441,Individual,China,Training,2010-3,18498
440,Individual,China,Legal,2010-3,558
745,Individual,Philippines,Legal,2010-3,7425
658,Company,Bolivia,Human Resources,2010-3,1970
832,Individual,Peru,Support,2010-3,4889
489,Individual,Indonesia,Training,2010-3,8421
195,Company,United States,Product Management,2010-3,8212
717,Company,Bangladesh,Sales,2010-3,10204
332,Company,Pakistan,Support,2010-3,3980
169,Individual,Argentina,Human Resources,2010-3,1003
831,Individual,Indonesia,Product Management,2010-3,17545
894,Company,Cuba,Business Development,2010-3,19047
265,Company,Indonesia,Support,2010-3,16765
309,Company,Brazil,Training,2010-3,4146
6,Company,Canada,Training,2010-3,15214
36,Company,Ukraine,Product Management,2010-3,606
545,Individual,China,Sales,2010-3,6202
290,Individual,Nigeria,Research and Development,2010-3,7865
638,Company,Colombia,Support,2010-3,17959
782,Individual,China,Marketing,2010-3,4513
196,Individual,China,Human Resources,2010-3,6967
310,Company,Indonesia,Product Management,2010-3,6280
384,Company,China,Training,2010-3,11386
836,Company,Yemen,Services,2010-3,10115
744,Company,China,Product Management,2010-3,10798
356,Company,Spain,Services,2010-3,16270
779,Company,Niger,Product Management,2010-3,9957
715,Individual,United States,Product Management,2010-3,982
998,Individual,China,Engineering,2010-3,16569
276,Company,Poland,Sales,2010-3,15494
490,Individual,Sweden,Legal,2010-3,15794
544,Individual,South Korea,Services,2010-3,17139
226,Individual,Portugal,Sales,2010-3,14443
444,Company,Bolivia,Marketing,2010-3,13922
437,Company,China,Business Development,2010-3,7455
215,Individual,United States,Research and Development,2010-3,3637
976,Individual,Indonesia,Training,2010-3,5894
50,Company,Paraguay,Business Development,2010-3,1591
973,Individual,Croatia,Support,2010-3,4047
892,Individual,France,Training,2010-3,18937
601,Individual,Nigeria,Training,2010-3,9970
243,Company,Argentina,Sales,2010-3,19908
780,Individual,Indonesia,Business Development,2010-3,5433
344,Company,Sweden,Engineering,2010-3,17185
266,Individual,Portugal,Sales,2010-3,4619
147,Company,United States,Engineering,2010-3,11073
289,Company,Ukraine,Legal,2010-3,4639
893,Individual,Indonesia,Legal,2010-3,16164
101,Individual,Iran,Legal,2010-3,644
600,Individual,Sweden,Sales,2010-3,3346
519,Individual,Indonesia,Human Resources,2010-3,16989
149,Individual,Portugal,Human Resources,2010-3,14301
578,Individual,China,Support,2010-3,15259
443,Company,China,Sales,2010-3,13121
64,Individual,France,Business Development,2010-3,9122
250,Individual,Central African Republic,Product Management,2010-3,19403
719,Company,Colombia,Research and Development,2010-3,9704
835,Company,Portugal,Human Resources,2010-3,2107
746,Individual,Portugal,Product Management,2010-3,12236
829,Company,Canada,Accounting,2010-3,4620
83,Individual,China,Research and Development,2010-3,15358
980,Company,Sweden,Business Development,2010-3,12165
438,Individual,China,Research and Development,2010-3,17723
966,Company,China,Human Resources,2010-3,2834
247,Individual,Brazil,Human Resources,2010-3,406
748,Company,Venezuela,Product Management,2010-3,17259
671,Individual,Czech Republic,Support,2010-3,17919
929,Company,China,Services,2010-3,14083
452,Individual,Indonesia,Sales,2010-3,1321
944,Company,Greece,Legal,2010-3,4158
785,Company,China,Research and Development,2010-3,1527
924,Company,Armenia,Marketing,2010-3,4244
427,Individual,Bosnia and Herzegovina,Engineering,2010-3,18217
708,Individual,China,Support,2010-3,6498
970,Company,Argentina,Legal,2010-3,6842
821,Individual,Colombia,Accounting,2010-3,2428
847,Individual,Philippines,Research and Development,2010-3,18618
